id,name,pack,type,rarity,image_id,cost,description,,,,,
26,相鋭の魔女・レミラミ,0,3,1,10032110,4,"【ファンファーレ】【土の秘術_1】『ガーディアンゴーレム』1枚を自分の場に出す。
【超進化時】自分の場のゴーレム・フォロワー1枚を選ぶ。それは進化する。それは+3/+3する。",,,,,
27,イラプション,0,3,1,10032310,4,場のフォロワーすべてに2ダメージ。【土の秘術_1】自分のデッキから1枚を引く。,,,,,
28,ブレイズデストロイヤー,0,3,1,10032120,10,【スペルブースト時】これのコストを-1する。,,,,,
29,ドラゴニュートクラッシュ,0,4,0,10041310,1,相手の場のフォロワー1枚を選ぶ。それに2ダメージ。【覚醒】なら、2ダメージではなく4ダメージ。,,,,,
30,烈火のファイアリザード,0,4,0,10041110,2,【ファンファーレ】相手の場のフォロワー1枚を選ぶ。それに1ダメージ。,,,,,
31,竜の啓示,0,4,1,10042310,3,自分のPP最大値を+1する。その後、自分のPP最大値が10なら、自分のデッキから1枚を引く。,,,,,
32,猛撃のドラゴンウォーリアー,0,4,1,10042110,4,"【進化時】相手の場のフォロワー1枚を選ぶ。それに4ダメージ。
【超進化時】1枚を選ぶのではなくすべて。",,,,,
33,咆哮の竜使い,0,4,1,10042120,5,【エンハンス_7】『大翼のドラゴン』1枚を自分の場に出す。,,,,,
34,戦斧の竜殺し,0,4,0,10041120,6,【守護】,,,,,
35,シャークソルジャー,0,4,0,10041130,8,【ファンファーレ】相手のリーダーに6ダメージ。,,,,,
36,魅惑のサキュバス・リリム,0,5,1,10052110,1,【ラストワード】『バット』1枚を自分の手札に加える。,,,,,
37,悪辣のレッサーマミー,0,5,0,10051130,2,【ファンファーレ】【ネクロマンス_4】これは【疾走】を持つ。,,,,,
38,カオティックカース,0,5,0,10051310,2,"【モード】1つを選んでその能力が働く。
（1）自分のデッキからフォロワー1枚を引く。
（2）【リアニメイト_2】を行う。",,,,,
39,魂の捕食,0,5,1,10052310,2,自分の場のフォロワー1枚を選ぶ。それを破壊。自分のデッキから2枚を引く。,,,,,
40,夜の鬼人,0,5,0,10051120,3,【ファンファーレ】自分のリーダーに1ダメージ。,,,,,
41,ラバーズネクロマンサー,0,5,1,10052120,4,"【進化時】『ゴースト』2枚を自分の場に出す。
【超進化時】それは【ドレイン】を持つ。",,,,,
42,ウルフマスター,0,5,0,10051110,6,"【疾走】
【必殺】",,,,,
43,有翼の石像,0,6,1,10062210,1,"【カウントダウン_4】
【ラストワード】『ホーリーファルコン』1枚を自分の場に出す。
コスト1【アクト】これのカウントを-1する。",,,,,
44,清純なる白狐,0,6,0,10061120,2,【守護】,,,,,
45,ウィングウォーリアー,0,6,0,10061130,4,"【ファンファーレ】自分の場の他のフォロワー1枚を選ぶ。それは+1/+1する。
【進化時】【ファンファーレ】と同じ能力が働く。",,,,,
46,鉄拳の神父,0,6,1,10062110,4,"【進化時】相手の場の体力3以下のフォロワー1枚を選ぶ。それを消滅。
【超進化時】1枚を選ぶのではなくすべて。",,,,,
47,投影の鳥像,0,6,0,10061210,4,"【カウントダウン_2】
【ラストワード】『壮麗なる隼』1枚を自分の場に出す。
コスト2【アクト】これのカウントを-2する。",,,,,
48,癒しのシスター,0,6,0,10061110,6,"【ファンファーレ】自分のリーダーを5回復。
【守護】",,,,,
49,セイクリッドグリフォン,0,6,1,10062120,8,"【守護】
自分がアミュレットを【アクト】したとき、これは【疾走】を持つ。",,,,,
50,マリオネットランサー,0,7,0,10071120,2,【ファンファーレ】『改良型・操り人形』1枚を自分の手札に加える。,,,,,
51,エレクトロウィッパー,0,7,1,10072110,2,【ファンファーレ】『パスト・コア』1枚を自分の手札に加える。,,,,,
52,ドールズシアター,0,7,1,10072210,2,"【ファンファーレ】『操り人形』1枚を自分の手札に加える。
【カウントダウン_2】
自分のターン終了時、『操り人形』1枚を自分の手札に加える。",,,,,
53,砲撃の猫獣人,0,7,0,10071110,3,"【ファンファーレ】『フューチャー・コア』1枚を自分の手札に加える。
【突進】",,,,,
54,異次元からの銃撃,0,7,0,10071310,4,相手の場のフォロワー1枚を選ぶ。それを破壊。『フューチャー・コア』1枚と『パスト・コア』1枚を自分の手札に加える。,,,,,
55,魔鋼の騎兵,0,7,1,10072120,5,"【守護】
【進化時】『魔鋼の騎兵』1枚を自分の場に出す。
【超進化時】1枚ではなく2枚。",,,,,
56,獣性の鉄人,0,7,0,10071130,6,"【必殺】
【守護】",,,,,
57,グリードケルブ・ルビィ,1,0,0,10101110,2,【ファンファーレ】自分の手札1枚を選ぶ。それをデッキに戻す。自分のデッキから1枚を引く。,,,,,
58,楽朗の天宮・フィルドア,1,0,2,10103110,2,【進化時】相手の場のフォロワー1枚を選ぶ。それを破壊。,,,,,
59,観察の探偵,1,0,0,10101120,3,【ラストワード】『探偵のルーペ』1枚を自分の手札に加える。,,,,,
60,送る光明・アポロン,1,0,1,10102110,3,"【ファンファーレ】相手の場のフォロワーすべてに1ダメージ。
【進化時】【ファンファーレ】と同じ能力が働く。",,,,,
61,熾天使の福音,1,0,1,10102310,3,自分のデッキから2枚を引く。,,,,,
62,神の雷霆,1,0,2,10103310,4,相手の場の攻撃力最大のフォロワーからランダム1枚を破壊。相手の場のフォロワーすべてに1ダメージ。,,,,,
63,ゴブリンの襲撃,1,0,0,10101310,5,『ゴブリン』5枚を自分の場に出す。,,,,,
64,勇壮の堕天使・オリヴィエ,1,0,3,10104110,7,"【ファンファーレ】自分のデッキから2枚を引く。自分のリーダーを2回復。自分のPPを2回復。
【超進化時】自分の場の他の進化前のフォロワー1枚を選ぶ。それは超進化する。",,,,,
65,最果ての罪・サタン,1,0,3,10104120,10,【ファンファーレ】自分のデッキを【アポカリプスデッキ】にする。,,,,,
66,純粋なるウォーターフェアリー,1,1,1,10112120,1,【ラストワード】『フェアリー』1枚を自分の手札に加える。,,,,,
67,妖精の招集,1,1,0,10111310,1,『フェアリー』2枚を自分の手札に加える。,,,,,
68,舞い踊る妖精,1,1,0,10111110,2,【ファンファーレ】【コンボ_3】自分の場の他のフォロワーすべては+1/+1する。,,,,,
69,ベビーカーバンクル,1,1,1,10112130,2,"【ファンファーレ】自分の場の他のカード1枚を選ぶ。それを手札に戻す。
【超進化時】自分のPPを3回復。",,,,,
70,ピュアクリスタリア・リリィ,1,1,2,10113110,2,"【ファンファーレ】【コンボ_3】相手の場のフォロワー1枚を選ぶ。それは体力1になる。
【進化時】自分のデッキから1枚を引く。相手の場のフォロワー1枚を選ぶ。それに1ダメージ。",,,,,
71,燐光の岩,1,1,1,10112210,2,"【ファンファーレ】『フェアリー』1枚を自分の手札に加える。【コンボ_3】『森の神秘』1枚を自分の手札に加える。
【アクト】これを破壊。自分の場のフォロワー1枚を選ぶ。それは+1/+1する。",,,,,
72,コンタクトフェアリー,1,1,0,10111120,3,"【ファンファーレ】『フェアリー』1枚を自分の場に出す。『フェアリー』1枚を自分の手札に加える。
【進化時】【ファンファーレ】と同じ能力が働く。",,,,,
73,働きバッタ,1,1,0,10111140,3,【ファンファーレ】自分のデッキからコストXのフォロワー1枚を引く。Xは自分の【コンボ】である。,,,,,
74,殺戮のリノセウス,1,1,2,10113140,3,"【ファンファーレ】これは+X/+0する。Xは自分の【コンボ】である。
【疾走】",,,,,
75,ビギンズブレイダー・アマツ,1,1,3,10114130,3,"【ファンファーレ】これは+X/+Xする。Xは自分の手札の妖精・フォロワーの枚数である。
【守護】
【進化時】「相手の場のフォロワーからランダム1枚に1ダメージ。」をX回行う。Xは自分の手札の妖精・フォロワーの枚数である。",,,,,
76,薫交の思慕,1,1,1,10112310,3,『森の神秘』1枚を自分の手札に加える。自分のデッキから1枚を引く。,,,,,
77,聖樹の杖,1,1,2,10113210,3,"自分のターン終了時、【コンボ_3】自分のデッキから1枚を引く。
【アクト】これを破壊。自分の場の他のカード1枚を選ぶ。それを手札に戻す。",,,,,
78,言の葉のエルダーウィードマン,1,1,0,10111150,4,【ファンファーレ】相手の場のフォロワーからランダム1枚に3ダメージ。【コンボ_3】1枚ではなく3枚。,,,,,
79,薫交の天宮・バックウッド,1,1,2,10113120,5,"【ファンファーレ】自分のデッキから2枚を引く。
【進化時】相手の場のフォロワーすべてにXダメージを割りふる。Xは自分の手札の枚数である。",,,,,
80,自然の妖精姫・アリア,1,1,3,10114110,6,"【ファンファーレ】自分は『クレスト：自然の妖精姫・アリア』を持つ。
【進化時】『フェアリー』3枚を自分の場に出す。",,,,,
81,フロストクリスタリア・エリン,1,1,1,10112110,7,"【ファンファーレ】相手の場のフォロワー1枚を選ぶ。それを破壊。自分のリーダーを2回復。
【守護】",,,,,
82,深奥のフェアリービースト,1,1,0,10111130,8,【ファンファーレ】自分のデッキから1枚を引く。自分のリーダーをX回復。Xは自分の手札の枚数である。,,,,,
83,煌撃の戦士・ベイル,1,1,2,10113130,8,"手札で働く。自分のフォロワーが場を離れたとき、これのコストを-1する。
【ファンファーレ】相手の場のフォロワー1枚を選ぶ。それに4ダメージ。",,,,,
84,豊麗なるローズクイーン,1,1,3,10114120,9,"【ファンファーレ】自分の手札のコスト2以下のエルフ・カードすべては『薔薇の閃撃』に変身する。
【守護】
1ターンに2回攻撃できる。",,,,,
85,統率のルミナスナイト,1,2,1,10122110,1,"自分の兵士・フォロワーが場に出たとき、ターン終了まで、これは+1/+0する。
【進化時】『ナイト』1枚を自分の場に出す。",,,,,
86,異端の侍,1,2,0,10121150,2,"【ファンファーレ】超進化可能ターンなら、これは【必殺】を持つ。
【突進】",,,,,
87,勇猛のルミナスランサー,1,2,1,10122130,2,"【ファンファーレ】『ナイト』1枚を自分の場に出す。
自分の兵士・フォロワーが場に出たとき、それは【突進】を持つ。",,,,,
88,忍びのムササビ,1,2,1,10122140,2,"【潜伏】
【進化時】『忍びのムササビ』1枚を自分の場に出す。",,,,,
89,愛の騎士・イアン,1,2,0,10121110,3,"【ファンファーレ】自分の場の他のフォロワー1枚を選ぶ。それは+1/+1する。
【守護】",,,,,
90,救援のルミナスヒーラー・リララ,1,2,0,10121130,3,"【ファンファーレ】『スティールナイト』1枚を自分の場に出す。
自分の兵士・フォロワーが場に出たとき、自分のリーダーを1回復。",,,,,
91,ミリタリードッグ,1,2,0,10121140,3,"【エンハンス_6】『ミリタリードッグ』2枚を自分の場に出す。
【突進】",,,,,
92,サイレントスナイパー・ワルツ,1,2,2,10123120,3,"【ファンファーレ】相手の場のフォロワー1枚を選ぶ。それに5ダメージ。
【エンハンス_6】これは+2/+2して【潜伏】を持つ。",,,,,
93,常在戦場・カゲミツ,1,2,3,10124130,3,"【ラストワード】自分は『クレスト：常在戦場・カゲミツ』を持つ。
【超進化時】これは【疾走】を持つ。
",,,,,
94,王断の威光,1,2,1,10122310,3,"【モード】1つを選んでその能力が働く。
（1）『スティールナイト』1枚と『ナイト』1枚を自分の場に出す。
（2）自分の場のフォロワーすべては+1/+1する。",,,,,
95,王断の天宮・スタチュウム,1,2,2,10123130,4,【進化時】『ナイト』2枚を自分の場に出す。自分の場の他のフォロワーすべては+1/+1する。,,,,,
96,剣士の斬撃,1,2,0,10121310,4,相手の場のフォロワー1枚を選ぶ。それを破壊。『スティールナイト』1枚を自分の場に出す。,,,,,
97,卓越のルミナスメイジ,1,2,1,10122120,5,"【ファンファーレ】『スティールナイト』3枚を自分の場に出す。
自分の兵士・フォロワーが場に出たとき、それは【守護】を持つ。",,,,,
98,レヴィオンの迅雷・アルベール,1,2,3,10124110,5,"【エンハンス_9】相手の場のフォロワーすべてに3ダメージ。これは「1ターンに2回攻撃できる。」を持つ。
【疾走】",,,,,
99,ピースディーラー・エルネスタ,1,2,0,10121120,6,"【ファンファーレ】自分の場の他のフォロワーすべては+1/+1する。
【進化時】【ファンファーレ】と同じ能力が働く。",,,,,
100,白銀の騎士団長・エミリア,1,2,3,10124120,6,"【ファンファーレ】自分のデッキからロイヤル・フォロワー2枚を引く。自分のPPを3回復。
【超進化時】自分の場の他のロイヤル・フォロワーすべては【バリア】を持つ。",,,,,
101,レヴィオンアックス・ジェノ,1,2,2,10123110,7,"【突進】
1ターンに2回攻撃できる。
【攻撃時】これは【バリア】を持つ。『ナイト』1枚を自分の場に出す。",,,,,
102,テンタクルバイト,1,2,2,10123310,7,相手の場のフォロワー1枚か相手のリーダーを選ぶ。それに5ダメージ。自分のリーダーを5回復。,,,,,
103,煌刃の勇者・アマリア,1,2,2,10123140,8,"【ファンファーレ】『スティールナイト』4枚を自分の場に出す。
自分の他のフォロワーが場に出たとき、それは+1/+0して【突進】と【守護】を持つ。",,,,,
104,ストームブラスト,1,3,0,10131320,1,"Xは2から始まる。
【スペルブースト時】これのXを+1する。
相手の場のフォロワー1枚を選ぶ。それにXダメージ。",,,,,
105,見習い占星術師,1,3,0,10131120,2,【ファンファーレ】自分の手札1枚を選ぶ。それをデッキに戻す。自分のデッキから1枚を引く。自分の場の土の印を+1する。,,,,,
106,アドーラブルティーチャー・ミラ,1,3,1,10132110,2,"【ファンファーレ】自分の手札すべては1回スペルブーストする。
【進化時】相手の場のフォロワー1枚を選ぶ。それに3ダメージ。自分の手札すべては1回スペルブーストする。",,,,,
107,魔法の薬剤師・ペネロピー,1,3,2,10133120,2,"【ファンファーレ】自分の場の土の印を+2する。
【超進化時】自分のデッキから2枚を引く。自分のリーダーを2回復。自分の場の土の印を+2する。",,,,,
108,虹の奇跡,1,3,0,10131310,2,自分の手札の【スペルブースト時】を持つカード1枚を選ぶ。それは1回スペルブーストする。自分のデッキから1枚を引く。,,,,,
109,オウルサモナー,1,3,0,10131130,3,"【ファンファーレ】自分の場の土の印を+1する。
【進化時】相手の場のフォロワー1枚を選ぶ。それに5ダメージ。",,,,,
110,理光の証明,1,3,1,10132310,3,"【モード】1つを選んでその能力が働く。
（1）自分の場の土の印を+4する。
（2）自分のリーダーを4回復。
（3）【土の秘術_3】相手の場のフォロワーすべてに4ダメージ。",,,,,
111,宿題やるですぅ！,1,3,2,10133310,3,"Xは0から始まる。
【スペルブースト時】これのXを+1する。その後、Xが5以上なら、これは『成長したですぅ！』に変身する。
自分のデッキから2枚を引く。",,,,,
112,夢想のペンギンウィザード,1,3,0,10131140,4,"【ファンファーレ】自分のデッキから2枚を引く。
【進化時】自分の手札すべては2回スペルブーストする。",,,,,
113,理光の天宮・エーデルワイス,1,3,2,10133130,4,"【ファンファーレ】【土の秘術_2】これは進化する。
これが進化したとき、相手の場のフォロワーからランダム1枚に4ダメージ。自分のPPを2回復。",,,,,
114,ルーンブレイドコンダクター,1,3,0,10131110,5,"【スペルブースト時】これは+1/+1する。
【ファンファーレ】相手の場のフォロワー1枚を選ぶ。それにXダメージ。Xはこれの攻撃力である。",,,,,
115,ワンダーウィッチ・エミル,1,3,1,10132120,5,"【スペルブースト時】これのコストを-1する。
【進化時】『クレイゴーレム』1枚を自分の場に出す。相手の場のフォロワーすべてにXダメージ。Xは自分の場のゴーレム・フォロワーの枚数である。",,,,,
116,黎明の錬金術師・ノノ,1,3,2,10133110,5,"【ファンファーレ】相手の場のフォロワー1枚を選ぶ。それにXダメージ。Xは自分の場の土の印の数である。
【進化時】自分は『クレスト：黎明の錬金術師・ノノ』を持つ。",,,,,
117,マナリアフレンズ・アン＆グレア,1,3,3,10134120,5,"【ファンファーレ】『アンの大英霊』1枚を自分の場に出す。自分の手札すべては3回スペルブーストする。
【進化時】相手の場のフォロワー1枚を選ぶ。それに3ダメージ。",,,,,
118,マナリアの学徒・ウィリアム,1,3,1,10132130,6,"Xは0から始まる。
【スペルブースト時】これのXを+1する。
【ファンファーレ】相手の場のフォロワーすべてにXダメージ。
【進化時】自分の手札すべては2回スペルブーストする。",,,,,
119,五行の果て・クオン,1,3,3,10134110,7,"【ファンファーレ】『式神・天后』1枚と『式神・暴鬼』1枚と『式神・形代』1枚を自分の場に出す。
【エンハンス_10】自分の場の式神・フォロワーすべてを破壊。『式神・貴人』1枚を自分の場に出す。
【超進化時】自分の場の式神・フォロワー1枚を選ぶ。それは【疾走】を持つ。",,,,,
120,鬼呼びの術,1,3,2,10133320,7,"【スペルブースト時】これのコストを-1する。
『式神・暴鬼』1枚を自分の場に出す。",,,,,
121,スノーアウェイク,1,3,1,10132320,8,"【スペルブースト時】これのコストを-1する。
相手の場のフォロワー1枚を選ぶ。それは体力1になる。相手のターン終了まで、それは「フォロワーやリーダーを攻撃できない。」を持つ。",,,,,
122,オーバーディメンション,1,3,3,10134310,18,"【スペルブースト時】これのコストを-1する。
自分の手札すべてをデッキに戻す。自分のデッキから5枚を引く。自分の手札すべては5回スペルブーストする。自分のPPを上限まで回復。",,,,,
123,乙姫の扇,1,4,2,10143210,1,コスト3【アクト】『乙姫お守り隊』1枚を自分の場に出す。自分の手札1枚を選ぶ。それを捨てる。,,,,,
124,竜育の少女,1,4,0,10141140,2,"【ファンファーレ】『ベビーファイアドレイク』1枚を自分の場に出す。
【進化時】【ファンファーレ】と同じ能力が働く。",,,,,
125,風を駆ける者・エイファ,1,4,1,10142120,3,"【ファンファーレ】【覚醒】なら、これは【威圧】を持つ。
【疾走】",,,,,
126,風を読む者・ゼル,1,4,1,10142130,3,【超進化時】自分の場の他のフォロワー1枚を選ぶ。それは【疾走】を持つ。,,,,,
127,栄弦の天宮・リュウフウ,1,4,2,10143120,3,"【ファンファーレ】【覚醒】なら、これは進化する。
これが進化したとき、自分のPP最大値を+1する。",,,,,
128,栄弦の奏楽,1,4,1,10142310,3,自分のデッキから2枚を引く。【覚醒】なら、自分のリーダーを2回復。,,,,,
129,駆け出しのドラゴンスレイヤー,1,4,0,10141130,4,【ファンファーレ】相手の場のフォロワー1枚を選ぶ。それを破壊。,,,,,
130,白鱗の御使い,1,4,0,10141150,4,【ファンファーレ】【覚醒】なら、自分のリーダーを4回復。,,,,,
131,艶麗なる竜人・マリオン,1,4,1,10142140,4,【ファンファーレ】自分の場の他のフォロワー1枚を選ぶ。それは+2/+2する。【覚醒】なら、+2/+2ではなく+3/+3。,,,,,
132,海溝の大剣竜,1,4,0,10141120,5,【ファンファーレ】【覚醒】なら、これは【疾走】を持つ。,,,,,
133,煌牙の義勇・キット,1,4,1,10142110,6,"これが捨てられたとき、自分の場のフォロワーからランダム1枚は+1/+0する。
【突進】",,,,,
134,荒波のドラグーン・ザハール,1,4,2,10143130,6,"【ファンファーレ】『大翼のドラゴン』1枚を自分の場に出す。
【守護】",,,,,
135,覇道の竜翼・フォルテ,1,4,3,10144120,6,"【疾走】
【威圧】",,,,,
136,ディザスターブレス,1,4,0,10141310,6,場のフォロワーすべてに5ダメージ。,,,,,
137,幻触のアナテマ・バーンドナイト,1,4,3,10144110,7,"【ファンファーレ】自分の手札1枚を選ぶ。それを捨てる。相手の場のフォロワーすべてにXダメージ。Xは選んだカードのコストである。
【超進化時】相手は『クレスト：灼熱のアナテマ・バーンドナイト』を持つ。",,,,,
138,雲海の騎竜兵,1,4,0,10141110,8,"【守護】
【ラストワード】『大翼のドラゴン』1枚を自分の場に出す。",,,,,
139,龍人演義・ガリュウ,1,4,3,10144130,8,"【ファンファーレ】『覇道の金龍』1枚と『覇道の銀龍』1枚を自分の場に出す。
【超進化時】自分の場の『覇道の金龍』すべては【疾走】を持つ。自分の場の『覇道の銀龍』すべては【バリア】を持つ。",,,,,
140,ナイトフォールドラゴン,1,4,2,10143140,9,"【ファンファーレ】相手の場のフォロワーすべては-0/-9する。
【超進化時】自分のデッキから3枚を引く。",,,,,
141,再臨のジェネシスドラゴン,1,4,2,10143110,10,【疾走】,,,,,
142,死神の一振り,1,5,0,10151310,1,自分の場のフォロワー1枚と相手の場のフォロワー1枚を選ぶ。それを破壊。,,,,,
143,無名の悪魔,1,5,0,10151120,2,【進化時】『バット』2枚を自分の場に出す。,,,,,
144,辣腕の死神・ミーノ,1,5,1,10152110,2,"【エンハンス_4】これは【突進】と【必殺】を持つ。
【ラストワード】『スケルトン』1枚を自分の手札に加える。",,,,,
145,ナイトメア・ヴェリィ,1,5,0,10152120,2,"【ファンファーレ】自分のリーダーに3ダメージ。
【進化時】自分のリーダーを5回復。",,,,,
146,燃え盛る魔剣・オルトロス,1,5,2,10153120,2,"【ファンファーレ】自分の墓場を+2する。
【守護】
【進化時】【ネクロマンス_4】「相手の場のフォロワーからランダム1枚に2ダメージ。」を2回行う。",,,,,
147,蛇神の怒り,1,5,2,10153310,2,相手の場のフォロワー1枚か相手のリーダーを選ぶ。それに3ダメージ。自分のリーダーに2ダメージ。,,,,,
148,ミッドナイトヴァンパイア・エラル,1,5,0,10151110,3,"【ファンファーレ】『バット』1枚を自分の場に出す。
自分の『バット』が場に出たとき、それは【疾走】を持つ。自分のリーダーに1ダメージ。",,,,,
149,ボーンガール,1,5,0,10151130,3,【ラストワード】『スケルトン』2枚を自分の場に出す。,,,,,
150,闇の賞金稼ぎ・バルト,1,5,2,10153140,3,【ファンファーレ】自分は『クレスト：闇の賞金稼ぎ・バルト』を持つ。,,,,,
151,瞑地の霊園,1,5,1,10152210,3,"【ファンファーレ】自分の墓場を+2する。
【アクト】これを破壊。『ゴースト』2枚を自分の場に出す。",,,,,
152,怪奇の探索者・ユナ,1,5,1,10152130,4,"【守護】
【ラストワード】『ゴースト』1枚と『バット』1枚を自分の手札に加える。",,,,,
153,青薔薇の令嬢・セレス,1,5,2,10153110,4,"【必殺】
自分のターン終了時、自分のリーダーを2回復。これが超進化後なら、2回復ではなく4回復。これは【バリア】を持つ。",,,,,
154,瞑地の天宮・ムカン,1,5,2,10153130,4,"【ファンファーレ】【ネクロマンス_8】これは進化する。
自分の死者・フォロワーが場に出たとき、それは【必殺】を持つ。
これが進化したとき、『ゴースト』1枚を自分の場に出す。",,,,,
155,禁約の悪魔,1,5,0,10151150,5,"【ファンファーレ】自分のデッキから2枚を引く。自分のリーダーに2ダメージ。
【進化時】相手の場のフォロワー1枚を選ぶ。それに6ダメージ。",,,,,
156,エンドレスハンター・アラガヴィ,1,5,3,10154130,5,"【ファンファーレ】相手の場のフォロワーすべてに7ダメージを割りふる。
【進化時】リーダーすべてに3ダメージ。",,,,,
157,ジャグリングゴースト,1,5,0,10151140,6,【ファンファーレ】【リアニメイト_4】を行う。,,,,,
158,猛毒姫・メドゥーサ,1,5,3,10154120,7,"【突進】
1ターンに3回攻撃できる。
【攻撃時】フォロワーへの攻撃なら、交戦相手を破壊。",,,,,
159,串刺し公・ヴラド,1,5,1,10152140,8,【ファンファーレ】相手の場のフォロワー1枚を選ぶ。それに5ダメージ。自分のリーダーを5回復。,,,,,
160,奔放なる獄炎・ケルベロス,1,5,3,10154110,8,"【ファンファーレ】『番犬の右腕・ミミ』1枚と『番犬の左腕・ココ』1枚を自分の場に出す。【ネクロマンス_6】自分の場の他のフォロワーすべては+2/+0する。
【超進化時】【リアニメイト_1】を2回行う。",,,,,
161,穏やかなる教会,1,6,0,10161210,1,"【カウントダウン_3】
【ラストワード】自分のデッキから2枚を引く。
コスト1【アクト】これのカウントを-1する。",,,,,
162,潜みしマイニュ,1,6,0,10161140,2,"【オーラ】
自分がアミュレットを【アクト】したとき、ターン終了まで、これは+1/+0する。",,,,,
163,破格のアルミラージ・サリッサ,1,6,2,10162110,2,"自分の【守護】を持つフォロワーが破壊されたとき、これは+1/+1する。
【進化時】これは【バリア】を持つ。",,,,,
164,禁密の聖地,1,6,1,10162210,2,コスト1【アクト】自分の場のフォロワー1枚を選ぶ。それは+1/+1する。自分のリーダーを1回復。,,,,,
165,獣姫の誓約,1,6,0,10163210,2,"【カウントダウン_2】
【ラストワード】『ホーリーフレイムタイガー』1枚を自分の場に出す。
コスト1【アクト】これのカウントを-1する。",,,,,
166,聖心のプリズムプリースト,1,6,0,10161110,3,"【ファンファーレ】自分のデッキからアミュレット1枚を引く。
【進化時】自分の手札のアミュレット1枚を選ぶ。それのコストを-1する。",,,,,
167,セイントシールダー,1,6,0,10161120,3,"【守護】
【バリア】",,,,,
168,セイクリッドインジェクション,1,6,1,10162220,3,【アクト】これを破壊。相手の場のフォロワー1枚を選ぶ。それに4ダメージ。自分のリーダーを1回復。,,,,,
169,煌翼のフェザーフォルク・リノ,1,6,1,10162120,4,"【交戦時】相手のリーダーに1ダメージ。
【超進化時】これは「1ターンに2回攻撃できる。」を持つ。",,,,,
170,禁密の天宮・ロナヴェロ,1,6,2,10163120,4,"【潜伏】
【進化時】相手の場のフォロワー1枚を選ぶ。それを破壊。",,,,,
